1 1  263.96225    0.00000  333.19092    0.00000    0.00000  255.43617    0.00000    0.00000    0.00000  231.40392    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000    0.00000   65.12432   60.27849   18.30887   15.39348    1.00000    1.00000    1.00000    1.00000    1.00000    1.00000    1.00000    1.00000    1.00000    1.00000    1.00000    1.00000    1.00000    1.00000    1.00000    1.00000  263.96225    0.00000  333.19092    0.00000    0.00000  255.43617    0.00000    0.00000    0.00000  231.40392
1 2   351.91019    95.09637   402.89926   -11.08157    -7.64894   267.14503   -11.57116   -17.27309    39.65552   246.79155     0.56917     0.27635     0.17007     0.37139     0.19059     0.03033     0.10623     0.22768     0.00847     0.12281     0.11585     0.06425     0.22760     0.05013     0.16073     0.10938    32.68986    32.40753     9.96388     8.03750     0.46391     0.12396     0.08806     0.26286     0.07972     0.01444     0.14466     0.05700     0.01490     0.14506     0.08994     0.02642     0.15095     0.01739     0.04903     0.05472  1246.42456  1062.22662   929.58046   299.70714   252.55922   164.31691   247.28625   205.08138   131.54156   121.21494
1 3  383.96422  147.21527  434.89466  -21.04155  -14.74822  266.34478  -19.03290  -29.65446   63.21626  253.26743    0.56238    0.27550    0.12382    0.38559    0.26880    0.00389    0.13339    0.20892    0.00211    0.12570    0.08135    0.07313    0.18988    0.05120    0.15398    0.11392   33.13702   33.53197    9.55975    8.16699    0.07873    0.05368    0.08601    0.05603    0.04978    0.01635    0.09421    0.03031    0.01168    0.11378    0.10483    0.01283    0.09765    0.01328    0.03296    0.03342   89.87154   83.08691   97.46248  -24.29431  -24.35945   57.90908  -15.24071  -17.26915   46.14977   51.35802
1 4  403.25905  180.68885  452.29781  -31.42489  -26.16568  266.81761  -27.74299  -40.44989   78.22208  255.10752    0.60005    0.26016    0.15102    0.42457    0.26108   -0.00302    0.12427    0.20685    0.02098    0.11800    0.14873    0.08309    0.16742    0.06596    0.14477    0.12318   34.27305   35.24595   10.45651    8.94371    0.06620    0.04449    0.07520    0.05124    0.04372    0.01554    0.08344    0.02990    0.01160    0.11838    0.08279    0.01493    0.10562    0.01282    0.02732    0.02505   70.47239   59.57967   73.52643  -26.25842  -24.84450   51.15770  -13.20611  -14.91369   43.61451   53.00261
1 5  414.77107  201.84263  467.13852  -38.94864  -31.46274  269.29052  -36.24719  -47.98258   87.30375  255.88152    0.61635    0.25590    0.13080    0.39318    0.23709    0.00351    0.16825    0.19807    0.00875    0.14592    0.18275    0.07911    0.20035    0.05208    0.13282    0.13519   34.15399   34.63650   11.94867   10.08201    0.06720    0.05098    0.07247    0.03711    0.03799    0.01326    0.07747    0.02987    0.01042    0.06869    0.09343    0.01090    0.08802    0.01335    0.02942    0.02322   78.34707   64.55281   81.94598  -38.96067  -37.17688   75.58208  -19.98688  -23.48109   65.94081   74.06867
1 6  417.35351  214.40478  473.70210  -43.67365  -34.28788  265.81740  -42.62214  -53.04721   90.77065  253.53622    0.61799    0.23971    0.11800    0.40040    0.26998    0.00297    0.15367    0.20253   -0.00209    0.12976    0.16261    0.07755    0.20134    0.06975    0.15509    0.13705   36.81086   36.37197   11.18252    9.64927    0.07708    0.04192    0.07490    0.04468    0.04528    0.01277    0.07360    0.02820    0.01018    0.08110    0.06501    0.01376    0.10116    0.01037    0.02371    0.02119   61.03394   52.00524   69.41526  -25.21600  -20.68058   70.72834   -9.45108   -6.83231   59.58192   65.91922
1 7  419.00742  221.53628  475.87090  -49.53288  -38.02647  263.99666  -48.76897  -58.42143   93.26258  253.36914    0.58780    0.25262    0.13413    0.38344    0.24816    0.00587    0.15513    0.21338    0.01460    0.16415    0.12760    0.08312    0.15852    0.06210    0.13829    0.14141   38.77998   39.35963   10.65305    9.92533    0.07356    0.03232    0.07817    0.03883    0.03803    0.01033    0.08239    0.02784    0.01058    0.08481    0.08027    0.01049    0.09749    0.01322    0.01800    0.01848   46.43182   46.08419   69.52546  -23.37981  -26.46475   80.63857   -9.43597  -11.35032   71.51809   79.11706
1 8  419.01526  227.90251  477.94065  -56.99164  -41.37435  262.53589  -52.86434  -62.95339   96.58062  254.51931    0.60776    0.23984    0.12201    0.42403    0.29098   -0.00971    0.10872    0.22370    0.00944    0.13662    0.17341    0.07546    0.16282    0.05610    0.13686    0.12763   40.73196   40.08527   10.63067   10.37705    0.06046    0.03358    0.07433    0.02942    0.03591    0.01525    0.09595    0.02410    0.01025    0.07716    0.07783    0.01068    0.09276    0.01037    0.01744    0.01454   61.06415   52.72841   74.99819  -34.03164  -24.01085   84.24952   -8.20379    0.86738   70.34339   88.64590
1 9  420.03412  232.53198  481.90581  -61.70870  -46.74657  260.94073  -58.78148  -67.92994   97.45819  254.40947    0.64773    0.26159    0.06412    0.36821    0.28601   -0.01270    0.14902    0.21828   -0.01537    0.14114    0.20201    0.08312    0.12072    0.06244    0.14265    0.10267   40.86187   39.89161   11.21755   10.50957    0.05107    0.03272    0.05385    0.03359    0.03652    0.00932    0.06806    0.02538    0.01091    0.07609    0.07417    0.00881    0.08466    0.01212    0.01819    0.01732   55.21194   45.91352   67.08039  -27.37951  -19.31832   82.79668  -14.44058  -10.38985   68.93158   81.63219
1 10  411.83460  229.15003  473.61839  -64.67778  -48.17046  257.99527  -62.80561  -69.60068   98.45048  252.19067    0.64845    0.25621    0.08537    0.42215    0.29769   -0.00282    0.13892    0.21099   -0.01838    0.13195    0.12135    0.06640    0.17906    0.05206    0.13725    0.12192   42.01483   41.56812   12.19840   11.49566    0.06047    0.03179    0.05796    0.03133    0.03730    0.00952    0.09445    0.02699    0.00895    0.06310    0.07966    0.00906    0.08533    0.01118    0.01904    0.01686   90.21160   70.17256   90.52023  -51.09089  -42.76206  101.83347  -33.00722  -29.29568   88.71576  102.00587
1 11  407.26365  226.18808  469.35088  -68.55340  -48.99959  260.06986  -63.67835  -67.41929   97.68232  248.87265    0.63320    0.27373    0.13170    0.39558    0.28033   -0.00046    0.14874    0.18892   -0.00717    0.07587    0.12868    0.07329    0.15526    0.04109    0.14427    0.12247   42.35744   41.47529   13.38086   12.15948    0.04325    0.02993    0.05624    0.02823    0.04406    0.00871    0.06570    0.02675    0.00891    0.06963    0.07192    0.00811    0.08471    0.01106    0.01843    0.01608   68.98560   58.97150   86.89732  -44.24511  -41.89447  104.00268  -28.17573  -28.23356   88.67600  101.14682
